date,username,net_equity,cash,open_value,open_positions,entries_that_day
2026-09-19,favorite-cash,99682.397315,79840.09561,19842.301705,228,228
2026-09-20,favorite-cash,99443.363295,72542.91313,26900.450165,421,193
2026-09-21,favorite-cash,99565.5374,70678.01045,28887.52695,500,79
2026-09-19,longshot-lotto,99269.258105,93346.58006,5922.678045,209,209
2026-09-20,longshot-lotto,98823.026765,92710.2214,6112.805365,360,151
2026-09-21,longshot-lotto,98505.55783,92505.74815,5999.80968,438,78
2026-09-19,momentum-mule,100000,100000,0,0,0
2026-09-20,momentum-mule,100000,100000,0,0,0
2026-09-21,momentum-mule,100000,100000,0,0,0
2026-09-19,fader-flipper,100000,100000,0,0,0
2026-09-20,fader-flipper,100000,100000,0,0,0
2026-09-21,fader-flipper,100000,100000,0,0,0
2026-09-19,yield-yak,100000,100000,0,0,0
2026-09-20,yield-yak,100000,100000,0,0,0
2026-09-21,yield-yak,100000,100000,0,0,0
2026-09-19,shock-surfer,100000,100000,0,0,0
2026-09-20,shock-surfer,100000,100000,0,0,0
2026-09-21,shock-surfer,100000,100000,0,0,0
2026-09-19,breakout-bandit,100000,100000,0,0,0
2026-09-20,breakout-bandit,100000,100000,0,0,0
2026-09-21,breakout-bandit,100000,100000,0,0,0
2026-09-19,poll-anchor-26,100000,100000,0,0,0
2026-09-20,poll-anchor-26,100000,100000,0,0,0
2026-09-21,poll-anchor-26,100000,100000,0,0,0
2026-09-19,ratings-ratchet,100000,100000,0,0,0
2026-09-20,ratings-ratchet,100000,100000,0,0,0
2026-09-21,ratings-ratchet,100000,100000,0,0,0
2026-09-19,crosslayer-arb,100000,100000,0,0,0
2026-09-20,crosslayer-arb,99953.69395,99098.6377,855.05625,1,1
2026-09-21,crosslayer-arb,99929.57539,99050.7909,878.78449,3,2
2026-09-19,longshot-fader,99929.55918,89584.66041,10344.89877,105,106
2026-09-20,longshot-fader,99919.752315,87797.53453,12122.217785,160,55
2026-09-21,longshot-fader,99908.87896,86580.69448,13328.18448,199,39
2026-09-19,combo-coherence,100000,100000,0,0,0
2026-09-20,combo-coherence,100000,100000,0,0,0
2026-09-21,combo-coherence,100000,100000,0,0,0
