date,username,ticker,series,action,side,shares,price,fee,pnl,executed_at,fill_cap_applied
2026-09-19,favorite-cash,CONTROLH-2026-D,CONTROLH,enter,YES,11878.69,0.9,74.8358,,yes_ask,yes
2026-09-19,favorite-cash,GOVPARTYAL-26-R,GOVPARTYAL,enter,YES,2.04,0.928,0.0096,,yes_ask,yes
2026-09-19,favorite-cash,GOVPARTYAR-26-R,GOVPARTYAR,enter,YES,0.12,0.989,0.0001,,yes_ask,yes
2026-09-19,favorite-cash,GOVPARTYAZ-26-D,GOVPARTYAZ,enter,YES,19.3,0.88,0.1427,,yes_ask,yes
2026-09-19,favorite-cash,GOVPARTYCA-26-D,GOVPARTYCA,enter,YES,34.8,0.967,0.0778,,yes_ask,yes
2026-09-19,favorite-cash,GOVPARTYCO-26-D,GOVPARTYCO,enter,YES,0.74,0.976,0.0013,,yes_ask,yes
2026-09-19,favorite-cash,GOVPARTYCT-26-D,GOVPARTYCT,enter,YES,0.04,0.976,0.0001,,yes_ask,yes
2026-09-19,favorite-cash,GOVPARTYFL-26-R,GOVPARTYFL,enter,YES,236.99,0.8,2.6543,,yes_ask,yes
2026-09-19,favorite-cash,GOVPARTYHI-26-D,GOVPARTYHI,enter,YES,0.01,0.98,0.0001,,yes_ask,yes
2026-09-19,favorite-cash,GOVPARTYIA-26-D,GOVPARTYIA,enter,YES,124.19,0.78,1.4918,,yes_ask,yes
2026-09-19,favorite-cash,GOVPARTYID-26-R,GOVPARTYID,enter,YES,0.38,0.992,0.0003,,yes_ask,yes
2026-09-19,favorite-cash,GOVPARTYIL-26-D,GOVPARTYIL,enter,YES,1.28,0.955,0.0039,,yes_ask,yes
2026-09-19,favorite-cash,GOVPARTYMA-26-D,GOVPARTYMA,enter,YES,4.37,0.959,0.0121,,yes_ask,yes
2026-09-19,favorite-cash,GOVPARTYME-26-D,GOVPARTYME,enter,YES,0.19,0.953,0.0006,,yes_ask,yes
2026-09-19,favorite-cash,GOVPARTYMI-26-D,GOVPARTYMI,enter,YES,12.64,0.927,0.0599,,yes_ask,yes
2026-09-19,favorite-cash,GOVPARTYMN-26-D,GOVPARTYMN,enter,YES,78.54,0.955,0.2363,,yes_ask,yes
2026-09-19,favorite-cash,GOVPARTYNE-26-R,GOVPARTYNE,enter,YES,0.08,0.94,0.0004,,yes_ask,yes
2026-09-19,favorite-cash,GOVPARTYNY-26-D,GOVPARTYNY,enter,YES,326.77,0.93,1.4891,,yes_ask,yes
2026-09-19,favorite-cash,GOVPARTYOR-26-D,GOVPARTYOR,enter,YES,33.53,0.85,0.2993,,yes_ask,yes
2026-09-19,favorite-cash,GOVPARTYSC-26-R,GOVPARTYSC,enter,YES,0.04,0.949,0.0002,,yes_ask,yes
2026-09-19,favorite-cash,GOVPARTYSD-26-R,GOVPARTYSD,enter,YES,2.39,0.995,0.0009,,yes_ask,yes
2026-09-19,favorite-cash,GOVPARTYTN-26-R,GOVPARTYTN,enter,YES,4.06,0.971,0.0081,,yes_ask,yes
2026-09-19,favorite-cash,GOVPARTYTX-26-R,GOVPARTYTX,enter,YES,196.94,0.79,2.2871,,yes_ask,yes
2026-09-19,favorite-cash,GOVPARTYWI-26-D,GOVPARTYWI,enter,YES,39.45,0.81,0.425,,yes_ask,yes
2026-09-19,favorite-cash,GOVPARTYWY-26-R,GOVPARTYWY,enter,YES,3.54,0.977,0.0056,,yes_ask,yes
2026-09-19,favorite-cash,HOUSEAKAL-26-R,HOUSEAKAL,enter,YES,41.94,0.9,0.2643,,yes_ask,yes
2026-09-19,favorite-cash,HOUSEAZ1-26-D,HOUSEAZ1,enter,YES,0.05,0.73,0.0007,,yes_ask,yes
2026-09-19,favorite-cash,HOUSECA13-26-D,HOUSECA13,enter,YES,0.25,0.945,0.001,,yes_ask,yes
2026-09-19,favorite-cash,HOUSECA22-26-D,HOUSECA22,enter,YES,0.06,0.924,0.0003,,yes_ask,yes
2026-09-19,favorite-cash,HOUSECA3-26-D,HOUSECA3,enter,YES,0.44,0.954,0.0014,,yes_ask,yes
2026-09-19,favorite-cash,HOUSECA45-26-D,HOUSECA45,enter,YES,23.51,0.958,0.0663,,yes_ask,yes
2026-09-19,favorite-cash,HOUSECA47-26-D,HOUSECA47,enter,YES,0.44,0.96,0.0012,,yes_ask,yes
2026-09-19,favorite-cash,HOUSECO8-26-D,HOUSECO8,enter,YES,4.61,0.81,0.0497,,yes_ask,yes
2026-09-19,favorite-cash,HOUSEFL13-26-R,HOUSEFL13,enter,YES,120.73,0.73,1.6658,,yes_ask,yes
2026-09-19,favorite-cash,HOUSEIA1-26-D,HOUSEIA1,enter,YES,4.49,0.77,0.0557,,yes_ask,yes
2026-09-19,favorite-cash,HOUSEIA3-26-D,HOUSEIA3,enter,YES,4.3,0.75,0.0565,,yes_ask,yes
2026-09-19,favorite-cash,HOUSEMN2-26-D,HOUSEMN2,enter,YES,56.46,0.949,0.1913,,yes_ask,yes
2026-09-19,favorite-cash,HOUSEMT1-26-R,HOUSEMT1,enter,YES,56.28,0.71,0.8112,,yes_ask,yes
2026-09-19,favorite-cash,HOUSENE2-26-D,HOUSENE2,enter,YES,0.99,0.934,0.0043,,yes_ask,yes
2026-09-19,favorite-cash,HOUSENH1-26-D,HOUSENH1,enter,YES,0.23,0.944,0.0009,,yes_ask,yes
2026-09-19,favorite-cash,HOUSENJ5-26-D,HOUSENJ5,enter,YES,2.26,0.96,0.0061,,yes_ask,yes
2026-09-19,favorite-cash,HOUSENJ7-26-D,HOUSENJ7,enter,YES,17.1,0.83,0.1689,,yes_ask,yes
2026-09-19,favorite-cash,HOUSENJ9-26-D,HOUSENJ9,enter,YES,3.93,0.961,0.0104,,yes_ask,yes
2026-09-19,favorite-cash,HOUSENM2-26-D,HOUSENM2,enter,YES,46.74,0.918,0.2463,,yes_ask,yes
2026-09-19,favorite-cash,HOUSENV1-26-D,HOUSENV1,enter,YES,0.14,0.941,0.0006,,yes_ask,yes
2026-09-19,favorite-cash,HOUSENY19-26-D,HOUSENY19,enter,YES,6.44,0.983,0.0076,,yes_ask,yes
2026-09-19,favorite-cash,HOUSENY22-26-D,HOUSENY22,enter,YES,0.04,0.954,0.0002,,yes_ask,yes
2026-09-19,favorite-cash,HOUSENY4-26-D,HOUSENY4,enter,YES,259.65,0.928,1.2145,,yes_ask,yes
2026-09-19,favorite-cash,HOUSEOH13-26-D,HOUSEOH13,enter,YES,0.81,0.95,0.0027,,yes_ask,yes
2026-09-19,favorite-cash,HOUSEOH9-26-D,HOUSEOH9,enter,YES,49.17,0.73,0.6784,,yes_ask,yes
2026-09-19,favorite-cash,HOUSEPA17-26-D,HOUSEPA17,enter,YES,2.13,0.983,0.0025,,yes_ask,yes
2026-09-19,favorite-cash,HOUSEPA7-26-D,HOUSEPA7,enter,YES,10.3,0.8,0.1154,,yes_ask,yes
2026-09-19,favorite-cash,HOUSETX15-26-D,HOUSETX15,enter,YES,13.6,0.66,0.2137,,yes_ask,yes
2026-09-19,favorite-cash,HOUSETX28-26-D,HOUSETX28,enter,YES,49.99,0.85,0.4462,,yes_ask,yes
2026-09-19,favorite-cash,HOUSETX34-26-D,HOUSETX34,enter,YES,54.54,0.77,0.6762,,yes_ask,yes
2026-09-19,favorite-cash,HOUSEWI3-26-D,HOUSEWI3,enter,YES,11.6,0.72,0.1637,,yes_ask,yes
2026-09-19,favorite-cash,KXAKSENATE-26NOV03-MPEL,KXAKSENATE,enter,YES,47.03,0.7,0.6914,,yes_ask,yes
2026-09-19,favorite-cash,KXATTYGENAZ-26-D,KXATTYGENAZ,enter,YES,0.04,0.86,0.0004,,yes_ask,yes
2026-09-19,favorite-cash,KXATTYGENMN-26-D,KXATTYGENMN,enter,YES,3.15,0.72,0.0445,,yes_ask,yes
2026-09-19,favorite-cash,KXBLUEWAVECOMBO-27FEB,KXBLUEWAVECOMBO,enter,YES,334,0.84,3.1423,,yes_ask,yes
2026-09-19,favorite-cash,KXCA11PERSON-26-SWIE,KXCA11PERSON,enter,YES,6.94,0.69,0.104,,yes_ask,yes
2026-09-19,favorite-cash,KXCABALLOTMEASURES-26NOV03-PR05,KXCABALLOTMEASURES,enter,YES,11.02,0.84,0.1037,,yes_ask,yes
2026-09-19,favorite-cash,KXCABILLIONAIRETAX-26NOV03,KXCABILLIONAIRETAX,enter,YES,0.03,0.959,0.0001,,yes_ask,yes
2026-09-19,favorite-cash,KXCAELECTION-2604-MTHO,KXCAELECTION,enter,YES,0.64,0.71,0.0093,,yes_ask,yes
2026-09-19,favorite-cash,KXCAELECTION-2607-DMAT,KXCAELECTION,enter,YES,1.24,0.88,0.0092,,yes_ask,yes
2026-09-19,favorite-cash,KXCAHOUSEDEM-26NOV03-E48,KXCAHOUSEDEM,enter,YES,21.38,0.71,0.3082,,yes_ask,yes
2026-09-19,favorite-cash,KXCROCKETTCAMPAIGN-26-26NOV03,KXCROCKETTCAMPAIGN,enter,YES,1.43,0.75,0.0188,,yes_ask,yes
2026-09-19,favorite-cash,KXDHOUSESEATSDIR-27-A223,KXDHOUSESEATSDIR,enter,YES,0.02,0.9,0.0002,,yes_ask,yes
2026-09-19,favorite-cash,KXDHOUSESEATSDIR-27-A229,KXDHOUSESEATSDIR,enter,YES,17.12,0.78,0.2057,,yes_ask,yes
2026-09-19,favorite-cash,KXDSENATESEATSH-27-B53,KXDSENATESEATSH,enter,YES,476.96,0.7,7.0114,,yes_ask,yes
2026-09-19,favorite-cash,KXEXITPOLL-YOUMEN-DEM,KXEXITPOLL,enter,YES,1.36,0.88,0.0101,,yes_ask,yes
2026-09-19,favorite-cash,KXGA1ROUND-26NOV03-GOV,KXGA1ROUND,enter,YES,0.03,0.924,0.0002,,yes_ask,yes
2026-09-19,favorite-cash,KXGA1ROUND-26NOV03-SEN,KXGA1ROUND,enter,YES,0.03,0.96,0.0001,,yes_ask,yes
