username,strategy,origin,rank,net_equity,net_return_pct,realized_pnl,unrealized_pnl,fees_paid,trades,trading_days,markets_traded,open_positions
favorite-cash,FavoriteHold,transferred-2024,3,99275.676105,-0.724324,-468.3893,-255.934595,468.3893,991,7,991,991
longshot-lotto,LongshotDCA,transferred-2024,4,98204.962175,-1.795038,-590.8844,-1204.153425,590.8844,850,7,850,850
momentum-mule,MomentumChase,transferred-2024,,99292.603525,-0.707396,-518.5463,-188.850175,518.5463,158,1,158,158
fader-flipper,OverreactionFade,transferred-2024,,100000,0,0,0,0,0,0,0,0
yield-yak,LateFavoriteYield,transferred-2024,,100000,0,0,0,0,0,0,0,0
shock-surfer,VolumeShock,transferred-2024,,100000,0,0,0,0,0,0,0,0
breakout-bandit,FinalWeekConsensus,transferred-2024,,100000,0,0,0,0,0,0,0,0
poll-anchor-26,StatePollVsMarket,new-2026,2,99427.55965,-0.57244,-581.61897,9.17862,661.7019,12,3,10,8
ratings-ratchet,TwoPublisherBandGap,new-2026,,99461.10906,-0.538891,-153.9674,-384.92354,430.0418,7,1,7,6
crosslayer-arb,LayerDisagreement,new-2026,,99929.5606,-0.070439,-37.987,-32.4524,37.987,3,2,3,3
longshot-fader,ExtremeLongshotFade,new-2026,1,99685.65334,-0.314347,-33.9202,-280.42646,38.765,481,7,481,480
combo-coherence,MutuallyExclusiveBasket,new-2026,,100000,0,0,0,0,0,0,0,0
