date,kind,key,detail,value,usable_that_day,note
2026-09-19,poll,cnn-ssrs-2026-09-me-senate,U.S. Senate — Maine CNN Poll conducted by SSRS,0.6608,no,margin 3pp -> logistic k=4.5; ticket SENATEME-26-D
2026-09-19,poll,cnn-ssrs-2026-09-mi-senate,U.S. Senate — Michigan (open seat) CNN Poll conducted by SSRS,0.6608,no,margin 3pp -> logistic k=4.5; ticket SENATEMI-26-D
2026-09-19,poll,emerson-2026-09-mi-senate,U.S. Senate — Michigan (open seat) Emerson College Polling / Nexstar Media,0.6093,no,margin 2pp -> logistic k=4.5; ticket SENATEMI-26-D
2026-09-19,poll,emerson-2026-09-tx-senate,U.S. Senate — Texas (open seat) Emerson College Polling / Nexstar Media,0.5553,no,margin 1pp -> logistic k=4.5; ticket SENATETX-26-D
2026-09-19,poll,emerson-2026-09-ia-senate,U.S. Senate — Iowa (open seat) Emerson College Polling / Nexstar Media,0.2477,no,margin -5pp -> logistic k=4.5; ticket SENATEIA-26-D
2026-09-19,poll,reconmr-siena-2026-09-tx-senate,U.S. Senate — Texas (open seat) Texas Poll — ReconMR fieldwork (released via Siena Research Institute),0.7914,no,margin 6pp -> logistic k=4.5; ticket SENATETX-26-D
2026-09-19,poll,suffolk-2026-08-ia-senate,U.S. Senate — Iowa (open seat) Suffolk University Political Research Center (SUPRC),0.2913,no,margin -4pp -> logistic k=4.5; ticket SENATEIA-26-D
2026-09-19,poll,npi-2026-08-az-governor,Governor — Arizona Noble Predictive Insights — Arizona Public Opinion Pulse (AZPOP),0.9473,no,margin 13pp -> logistic k=4.5; ticket GOVPARTYAZ-26-D
2026-09-19,poll,fm-2026-08-pa-governor,Governor — Pennsylvania Franklin & Marshall College Poll,0.9961,no,margin 25pp -> logistic k=4.5; ticket GOVPARTYPA-26-D
2026-09-19,poll,elon-2026-09-nc-senate,U.S. Senate — North Carolina Elon University Poll (fielded by YouGov),0.9202,no,margin 11pp -> logistic k=4.5; ticket SENATENC-26-D
2026-09-19,poll,hpu-2026-04-nc-senate,U.S. Senate — North Carolina HPU Poll 120 — High Point University Survey Research Center (fielded by YouGov),0.8554,no,margin 8pp -> logistic k=4.5; ticket SENATENC-26-D
2026-09-19,poll,hpu-2026-08-nc-senate,U.S. Senate — North Carolina HPU Poll 126 — High Point University Survey Research Center (fielded by YouGov),0.7523,no,margin 5pp -> logistic k=4.5; ticket SENATENC-26-D
2026-09-19,poll,stetson-2026-04-fl-governor,Governor — Florida Stetson University Center for Public Opinion Research (CPOR) — Spring 2026 Survey,0.1743,no,margin -7pp -> logistic k=4.5; ticket GOVPARTYFL-26-D
2026-09-19,poll,ppp-2026-07-nc-senate,U.S. Senate — North Carolina Public Policy Polling (PPP),0.7087,no,margin 4pp -> logistic k=4.5; ticket SENATENC-26-D
2026-09-19,poll,unf-2026-07-fl-governor,Governor — Florida University of North Florida Public Opinion Research Lab,0.2477,no,margin -5pp -> logistic k=4.5; ticket GOVPARTYFL-26-D
2026-09-19,poll,unf-2026-07-fl-senate,U.S. Senate — Florida (special) University of North Florida Public Opinion Research Lab,0.1446,no,margin -8pp -> logistic k=4.5; ticket SENATEFLS-26-D
2026-09-19,poll,rasmussen-2026-09-ga-governor,Governor — Georgia Rasmussen Reports (field work by Pulse Opinion Research),0.3392,no,margin -3pp -> logistic k=4.5; ticket GOVPARTYGA-26-D
2026-09-19,poll,rasmussen-2026-09-ga-senate,U.S. Senate — Georgia Rasmussen Reports (field work by Pulse Opinion Research),0.8808,no,margin 9pp -> logistic k=4.5; ticket SENATEGA-26-D
2026-09-19,poll,rasmussen-2026-09-sc-senate,U.S. Senate — South Carolina (special) Rasmussen Reports (field work by Pulse Opinion Research),0.2477,no,margin -5pp -> logistic k=4.5; ticket SENATESC-26-D
2026-09-19,rating,AK,Toss Up / Tilt R,0.25-0.65,no,ticket SENATEAK-26-D
2026-09-19,rating,IA,Toss Up / Tilt R,0.25-0.65,no,ticket SENATEIA-26-D
2026-09-19,rating,ME,Toss Up / Toss-up,0.35-0.65,no,ticket SENATEME-26-D
2026-09-19,rating,MI,Toss Up / Toss-up,0.35-0.65,no,ticket SENATEMI-26-D
2026-09-19,rating,NH,Toss Up / Toss-up,0.35-0.65,no,ticket SENATENH-26-D
2026-09-19,rating,OH,Toss Up / Toss-up,0.35-0.65,no,ticket SENATEOHS-26-D
2026-09-19,rating,TX,Toss Up / Lean R,0.2-0.65,no,ticket SENATETX-26-D
2026-09-19,rating,GA,Lean D / Tilt D,0.55-0.8,no,ticket SENATEGA-26-D
2026-09-19,rating,NC,Lean D / Tilt D,0.55-0.8,no,ticket SENATENC-26-D
2026-09-19,rating,MN,Likely D / Likely D,0.75-0.92,no,ticket SENATEMN-26-D
2026-09-19,rating,KS,Likely R / Likely R,0.08-0.25,no,ticket SENATEKS-26-D
2026-09-19,rating,SC,Solid R / Likely R,0-0.25,no,ticket SENATESC-26-D
2026-09-19,crosslayer,SENATE-CONTROL-2026,metaculus 0.517,0.517,no,ticket CONTROLS-2026-D snapshotMid 0.595
2026-09-19,crosslayer,HOUSE-CONTROL-2026,metaculus 0.888,0.888,no,ticket CONTROLH-2026-D snapshotMid 0.895
2026-09-19,crosslayer,HOUSE-CONTROL-2026,metaculus 0.888,0.888,no,ticket CONTROLH-2026-D snapshotMid 0.9015
2026-09-19,crosslayer,GOVERNOR-HI-2026,metaculus 0.98,0.98,no,ticket GOVPARTYHI-26-D snapshotMid 0.974
2026-09-19,crosslayer,GOVERNOR-NM-2026,metaculus 0.922,0.922,no,ticket GOVPARTYNM-26-D snapshotMid 0.9255
2026-09-19,crosslayer,GOVERNOR-OR-2026,metaculus 0.88,0.88,no,ticket GOVPARTYOR-26-D snapshotMid 0.845
2026-09-19,crosslayer,GOVERNOR-MI-2026,metaculus 0.85,0.85,no,ticket GOVPARTYMI-26-D snapshotMid 0.915
2026-09-19,crosslayer,SENATE-MT-2026,metaculus 0.01,0.01,no,ticket SENATEMT-26-D snapshotMid 0.0075
2026-09-19,crosslayer,SENATE-NE-2026,metaculus 0.001,0.001,no,ticket SENATENE-26-D snapshotMid 0.0005
2026-09-19,crosslayer,SENATE-RI-2026,metaculus 0.99,0.99,no,ticket SENATERI-26-D snapshotMid 0.979
2026-09-19,crosslayer,SENATE-OR-2026,metaculus 0.99,0.99,no,ticket SENATEOR-26-D snapshotMid 0.977
2026-09-19,crosslayer,SENATE-CO-2026,metaculus 0.98,0.98,no,ticket SENATECO-26-D snapshotMid 0.9725
