id,name,category,type,url_primary,url_data,access,update_frequency,status,checked_date
SRC-001,Federal Election Commission (FEC),government-official,federal-agency,https://www.fec.gov/,https://www.fec.gov/data/,"free, no login",continuous (filings) + weekly digest,verified-live,2026-09-18
SRC-002,U.S. Election Assistance Commission (EAC),government-official,federal-agency,https://www.eac.gov/,,"free, no login",continuous + monthly newsletter,verified-live,2026-09-18
SRC-003,National Archives — Electoral College,government-official,federal-agency,https://www.archives.gov/electoral-college,https://www.archives.gov/electoral-college/results,"free, no login",per federal election cycle,verified-live,2026-09-18
SRC-004,U.S. Census Bureau — Voting and Registration,government-official,federal-agency,https://www.census.gov/topics/public-sector/voting.html,https://www.census.gov/topics/public-sector/voting/data.html,"free, no login",biennial (after each national election),verified-live,2026-09-18
SRC-005,Clerk of the U.S. House — Election Information,government-official,federal-agency,https://clerk.house.gov/Members/ViewElectionInformation,,"free, no login",per federal election,verified-live,2026-09-18
SRC-006,MIT Election Lab (MEDSL),academic,university-lab,https://electionlab.mit.edu/,https://electionlab.mit.edu/data,"free, no login",quarterly newsletter + per-cycle datasets,verified-live,2026-09-18
SRC-007,American National Election Studies (ANES),academic,academic-survey,https://electionstudies.org,,"free, no login for downloads",per presidential election + pilots,verified-live,2026-09-18
SRC-008,Cooperative Election Study (CES),academic,academic-survey,https://tischcollege.tufts.edu/ces,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi%3A10.7910/DVN/PR4L8P,"free, no login",annual (two waves in election years),verified-live,2026-09-18
SRC-009,Harvard Dataverse,academic,data-repository,https://dataverse.harvard.edu/,https://dataverse.harvard.edu/api/info/version,"free, no login for public datasets",continuous,verified-live,2026-09-18
SRC-010,AP-NORC Center for Public Affairs Research,academic,academic-news-consortium,https://apnorc.org/,https://apnorc.org/projects/ap-votecast/,"free, no login",continuous (poll releases),verified-live,2026-09-18
SRC-011,Pew Research Center — Politics & Policy,pollster,nonprofit-research,https://www.pewresearch.org/topic/politics-policy/,,"free, no login",continuous,verified-live,2026-09-18
SRC-012,Gallup News,pollster,pollster,https://news.gallup.com/,https://news.gallup.com/topic/politics.aspx,free summaries,continuous,verified-live,2026-09-18
SRC-013,Quinnipiac University Poll,pollster,university-poll,https://poll.qu.edu/,https://poll.qu.edu/methodology/,"free, no login",continuous (poll releases),verified-live,2026-09-18
SRC-014,Marist Poll,pollster,university-poll,https://maristpoll.marist.edu/,https://maristpoll.marist.edu/latest-polls/,"free, no login",continuous (polls + weekly podcast),verified-live,2026-09-18
SRC-015,YouGov — Politics,pollster,pollster,https://yougov.com/en-us/politics,https://yougov.com/en-us/content/politics,free articles,continuous (weekly Economist poll),verified-live,2026-09-18
SRC-016,Ipsos (Reuters/Ipsos),pollster,pollster,https://www.ipsos.com/en-us/latest-us-opinion-polls,,free summaries,continuous (weekly/monthly tracking),verified-live,2026-09-18
SRC-017,RealClearPolitics — Polls,aggregator-analysis,aggregator,https://www.realclearpolitics.com/epolls/latestpolls/,,"free, no login",continuous (in cycle),verified-exists-freshness-unconfirmed,2026-09-18
SRC-018,Sabato's Crystal Ball (UVA),aggregator-analysis,university-analysis,https://centerforpolitics.org/crystalball/,,"free, no login",weekly (in cycle),verified-live,2026-09-18
SRC-019,Split Ticket,aggregator-analysis,independent-analysis,https://split-ticket.org/,,"free, no login",in-cycle articles + models,verified-live,2026-09-18
SRC-020,OpenSecrets,aggregator-analysis,nonprofit-research,https://www.opensecrets.org/,,"free, no login for most data",continuous,verified-live,2026-09-18
